user_id,group,revenue,clicked,converted,retained_7d,complained,segment,device,country
clean_win_treatment_01295,treatment,10.95,1,0,0,0,new_user,web,GB
clean_win_treatment_01948,treatment,10.6,0,0,0,0,high_value,ios,DE
clean_win_treatment_01554,treatment,10.21,0,0,0,0,high_value,ios,CA
clean_win_treatment_00131,treatment,12.32,1,0,0,0,high_value,ios,GB
clean_win_treatment_00963,treatment,10.91,0,0,0,0,new_user,ios,DE
clean_win_control_01970,control,9.68,0,0,1,0,returning_user,android,CA
clean_win_treatment_01435,treatment,10.65,0,0,0,0,high_value,web,US
clean_win_control_00169,control,9.51,0,0,1,0,returning_user,ios,GB
clean_win_treatment_00359,treatment,9.82,0,0,0,0,new_user,ios,DE
clean_win_control_00401,control,11.23,0,0,0,0,new_user,ios,CA
clean_win_treatment_00854,treatment,9.85,0,0,0,0,returning_user,android,CA
clean_win_treatment_01868,treatment,9.6,0,1,1,0,returning_user,web,DE
clean_win_treatment_01869,treatment,10.77,0,0,1,0,new_user,android,CA
clean_win_treatment_01373,treatment,11.67,0,0,0,0,returning_user,android,DE
clean_win_treatment_00568,treatment,10.92,1,0,1,0,high_value,ios,GB
clean_win_control_00672,control,10.6,1,0,0,0,new_user,android,CA
clean_win_control_01633,control,11.1,0,0,1,0,new_user,ios,DE
clean_win_treatment_01789,treatment,10.82,0,0,0,0,high_value,web,US
clean_win_treatment_00442,treatment,11.14,0,0,0,0,high_value,android,GB
clean_win_treatment_01887,treatment,12.37,0,0,1,0,returning_user,android,DE
clean_win_treatment_00623,treatment,10.47,0,0,0,0,new_user,ios,DE
clean_win_treatment_01030,treatment,10.01,0,0,1,0,new_user,web,GB
clean_win_treatment_00223,treatment,11.95,0,0,1,0,new_user,web,CA
clean_win_treatment_00230,treatment,10.83,0,1,1,0,returning_user,ios,US
clean_win_treatment_00205,treatment,10.49,0,0,0,0,new_user,android,GB
clean_win_control_00192,control,9.43,0,0,1,0,returning_user,android,DE
clean_win_treatment_01930,treatment,12.87,1,0,0,0,new_user,ios,GB
clean_win_control_00259,control,10.51,0,0,0,0,high_value,android,CA
clean_win_control_01263,control,7.73,1,0,0,0,high_value,android,GB
clean_win_control_01182,control,8.33,0,0,1,0,returning_user,web,US
clean_win_treatment_01565,treatment,11.93,0,0,0,0,returning_user,web,US
clean_win_treatment_00630,treatment,11.0,0,0,1,0,returning_user,android,CA
clean_win_treatment_00029,treatment,13.65,1,0,1,0,new_user,ios,GB
clean_win_control_01828,control,10.91,0,0,1,0,new_user,ios,US
clean_win_control_01303,control,10.38,1,0,0,0,new_user,ios,GB
clean_win_treatment_00026,treatment,12.59,0,0,0,0,new_user,web,GB
clean_win_control_01168,control,9.03,1,0,0,0,returning_user,ios,US
clean_win_treatment_01602,treatment,11.27,0,0,1,0,new_user,android,CA
clean_win_control_01260,control,11.55,0,0,1,0,returning_user,android,US
clean_win_control_00418,control,14.63,0,0,0,0,returning_user,android,GB
clean_win_control_00230,control,9.49,0,0,0,0,returning_user,android,US
clean_win_control_01918,control,10.49,0,0,1,0,returning_user,web,DE
clean_win_treatment_01207,treatment,11.32,0,0,1,0,high_value,ios,GB
clean_win_treatment_01693,treatment,11.14,0,0,0,0,returning_user,ios,DE
clean_win_treatment_00022,treatment,13.55,1,1,1,0,high_value,web,CA
clean_win_treatment_00004,treatment,11.79,0,0,1,0,returning_user,ios,US
clean_win_control_00671,control,7.57,0,0,0,0,returning_user,android,CA
